歌曲id,歌曲频率,歌曲名字,歌手id
1368754722,4.0,夜里无星,12676697
1482918242,4.0,99,13058502
1325711347,8.0,喜新恋旧,784257
541687281,313.0,慢慢喜欢你,8926
1816964380,5.0,不想喝酒！,12292356
533443911,21.0,梦醒时分,12383009
340376,289.0,夜车,10750
501220106,37.0,Almost Home,1079074
1417103092,6.0,讨喜,12050057
1393739628,8.0,Someday or One Day,954154
1325896303,7.0,My Man,784257
1807799506,5.0,与海无关,12676697
571339219,12.0,Midsummer Madness,15022053
1426022013,6.0,黑马王子,1132392
1426022018,8.0,花花公子 (feat. step.jad),1132392
1830686586,3.0,不会说谎的恰恰 (Live),1132392
1457248123,4.0,R&amp;B All Night (Masiwei Remix),1132392
1457345780,7.0,Tonight,31668975
1493968440,5.0,너의 하루 (바른연애 길잡이 X 로꼬),124303
286966,52.0,180度,9272
1474571331,2.0,Devastated,31215569
1818844744,7.0,不会说谎的眼睛 (Feat. DP龙猪),1132392
1462875616,5.0,一无所有,12200029
1433701604,10.0,拖延症,28420071
499274467,104.0,Summer Go Loco,124303
1354221306,4.0,最后的831 (万人合唱版),11109
386691,47.0,一颗苹果,13193
1481084801,4.0,MOVIE,28102242
28196001,30.0,克卜勒,9272
386542,51.0,拥抱,13193
1421148133,4.0,Y U Gotta B Like That,33590146
1408122638,6.0,一天,33885397
1832684671,12.0,回不去的夏天,12383009
1805842261,4.0,欢迎光临,784257
1413863166,11.0,想去海边,12383009
1490611167,4.0,无法坠入爱河 (Punk Version),1151001
1488990357,8.0,百变酒精,865007
1826189041,6.0,"花,太阳,彩虹,你",6309
1480074240,4.0,fine!,12108736
1478315568,2.0,Intentions,35531
553813030,14.0,Dawn of us,1083118
1423950678,26.0,serene//rewind (feat. dion dugas),12598596
19945727,41.0,Demons,94779
1457329446,5.0,粒子们,12798895
1450718554,4.0,放肆爱,12798895
563563366,5.0,爱在夏天,12676697
1483786045,3.0,飞奔向你,12798895
1807796552,4.0,运气来得若有似无,12676697
1446855406,4.0,Say So (Original Version),911131
441491828,35.0,水星记,2843
1450083773,4.0,在你身边就失去超能力,46697099
1299557101,11.0,whatever it takes,12248077
1431767743,6.0,I.F.L.Y.,12262073
497572729,32.0,人生浪费指南,12383009
1386038739,9.0,随身汀,31561897
1470501460,13.0,如同宿命反复重演的那一天,12383009
1807796555,4.0,温蒂公主的侍卫,12676697
1473886611,4.0,Moonquake,12371505
1449416890,6.0,所以你睡了没,31561897
1817716950,7.0,漫话,37694369
1423417559,4.0,ROXANNE (Remix),12388061
1432491214,4.0,早点早点,31561897
1406064872,4.0,Happening,33148212
1833848187,3.0,How to...,1184074
1357692846,2.0,晚安昨日,1158136
1440222808,17.0,当夜空落去，城市继续前行,33373308
1833634254,6.0,嫌晚,32244736
17124875,11.0,You Were Born,89758
1410647903,4.0,带我去找夜生活,12676697
2866921,82.0,Schnappi,62646
1368753797,11.0,法兰西多士,12676697
1807799504,5.0,在这座城市遗失了你,12676697
1807796549,5.0,丑人多作怪,12676697
1317457805,6.0,披星戴月的想你,12676697
1368754688,4.0,爱人错过,12676697
17025959,9.0,Heavy Hours,51047
1413368107,3.0,傍晚去太子湾吗,1194019
1406753113,11.0,我想了太多关于你的形容（adj.）,12037064
511921825,5.0,The Observatory,103877
1448631530,4.0,Paradise... How Far?,12029112
536622918,11.0,暴风雨,12002201
1420415010,3.0,AURA (Prod. GXXD),28102242
1479507542,3.0,爱是,1194019
1823305772,9.0,Promise,12200029
566649954,11.0,Forest Whitaker,88728
1380100797,5.0,100 Degrees,12024301
1491156903,4.0,回家 (feat. 王以太),12039173
1445713222,3.0,비행중 (수신끔),30450236
1337032503,43.0,夜寞寂Kimoji,12788674
1803886229,5.0,No Blueberries,768159
1329475622,39.0,Life's a movie,12788674
343187,19.0,爱不持久,11004
1415829224,3.0,零几年听的情歌,12258420
1442320451,17.0,小丑女,13899303
1396141677,4.0,阿司匹林,12236125
1811102198,6.0,为什么,1132392
1493852177,4.0,Apollo 11,827360
1488990367,4.0,逃学威龙,865007
1380277390,5.0,Larry David,28898232
1335953008,3.0,하루종일 (Band Ver.),719006
1345171,15.0,Where'd You Go,33358
