歌曲id,歌曲频率,歌曲名字,歌手id,歌曲歌词
1336856449,82.0,告白,12002248,作词冥凰作曲蛛蛛空的蝉壳悄悄摇落檐下垂铃听风吹过为何迟到了海边的焰火今晚的我稍许笨拙粗心丢了夏的线索可你只是笑着眼角处却有流星闪烁好想去捕捉最灿烂的那颗因为你爱上整个夏末我开始迷上你暖暖酒窝你和我光脚并排着坐天南地北什么话都说我的小心思比你想象得还要多自己都难琢磨没想到你却使坏骗我合上双眼偷偷吻了我耳朵空的蝉壳悄悄摇落檐下垂铃听风吹过薰衣草开满远处的山坡浪漫不用太多承诺只要能扑你怀里躲连指尖的触摸都当作最甜蜜的糖果相信你懂我爱撒娇的寂寞因为你爱上整个夏末我开始迷上你暖暖酒窝你和我光脚并排着坐天南地北什么话都说我的小心思比你想象得还要多自己都难琢磨没想到你却使坏骗我合上双眼偷偷因为你爱上整个夏末我开始迷上你暖暖酒窝你和我光脚并排着坐天南地北什么话都说我的小心思比你想象得还要多自己都难琢磨没想到你却使坏骗我合上双眼轻声说你爱我蝉鸣消去的时候想和你一起数着满天星座安静地被星光包裹蝉鸣消去的时候想和你一起猜着浪花纹络有最幸福的轮廓制作人编曲吉他于昊监制蛛蛛企划小粉统筹袁晓童黄鲲弦乐编写胡静成弦乐演奏国际首席爱乐乐团录音室和声编写演唱鱼椒盐人声编辑于昊混音母带赵靖封面设计武中奇本歌曲来自网易音乐人亿现金激励千亿流量扶持合作
1399112638,3.0,心似烟火,12077204,作词阿藤芳史作曲阿藤芳史中文填词孟大原属词曲版权公司本作品经过原词曲作者以及版权公司授权我们的心像烟火一朵连结着一朵不独自飘落赶走了寂寞转身我在原地等你也许会偶尔停泊结束向前的念头也不畏寂寞和天空海阔转身看见你灿烂的笑容模糊的世界虚幻的情节憧憬熄灭雨下整夜我也不能凝聚星辰多一些但风凛冽握紧你的手不怕夜更迭在悲伤的时候在痛苦的时候坦率像沙漠里的海市蜃楼我看着你背影想开口那勇气却和时间偷偷溜走思念知难眠时间不知深浅想做你锦上添花一场盛宴是唯一心愿可睁眼现实和梦啊原来都在一瞬间我们的心像烟火一朵连结着一朵不独自飘落赶走了寂寞转身你在原地等我也许会偶尔停泊结束向前的念头也不畏寂寞和天空海阔转身看见你灿烂的笑容世上的人无论任何都有孤单的时刻充满胆怯面对着告别仍慢慢前进着辗转着唱首歌变成了坚定长河仍然期待着明天有新的喜乐你微笑的瞬间心绪像断了弦拥抱是荒原中的昙花一现如果心下雪沦陷流完泪看光划过夜冬天变春天每天都在改变我们正渺小模糊开始遥远就算看不见向前未来也能够拥有好晴天我们的心像烟火一朵连结着一朵不独自飘落赶走了寂寞转身你在原地等我也许会偶尔停泊结束向前的念头也不畏寂寞和天空海阔转身看见你灿烂的笑容自己走着就是独特一步一步也许苦涩放掉伪装别舍不得生活变温热有人默默一直陪着装模作样就会忘了四周其实变得干涸想要找的多么坎坷再去放开怎会舍得松开会痛彻毕竟也深爱着当想回头的时候看到了来的入口往回走模糊的世界虚幻的情节憧憬熄灭雨下整夜我也不能凝聚星辰多一些但风凛冽握紧你的手不怕夜更迭制作人姚政闫实企划谢宇航李喆渊裘小静监制谭微编曲闫实录顶技混音鲍锐录顶技网易云音乐特别企划听海风本歌曲来自网易音乐人亿现金激励千亿流量扶持合作
444267766,14.0,尽头,12023202,作词朱鸽作曲朱鸽演唱赵方婧编曲于瑾混音出品千和世纪音阙诗听成员作品觥筹交错时光如梭迷失自我享受折磨这是你要的物质生活一身污浊自得其乐谁的命运谁又能把握这是种孤独没有结果精神虚伪的寄托不择手段的迷离恍惚的假想推翻不假思索如果换作是我又是何得的变作无趣的枷锁肉体诚实的反驳不合时宜的消散太快的热度假装不食烟火不由分说的我换个身份变作有趣的恶魔踏碎镜头里的尽头觥筹交错时光如梭迷失自我享受折磨这是你要的物质生活一身污浊自得其乐谁的命运谁又能把握这是种孤独没有结果精神虚伪的寄托不择手段的迷离恍惚的假想推翻不假思索如果换做是我又是何得的变作无趣的枷锁精神虚伪的寄托不择手段的迷离恍惚的假想推翻不假思索如果换作是我又是何得的变作无趣的枷锁肉体诚实的反驳不合时宜的消散太快的热度假装不食烟火不由分说的我换个身份变作有趣的恶魔
1460682363,5.0,爱，存在,35136304,作词吴易纬作曲蔡明仁编曲王大夫我要的爱只在你身上存在要不是你不会哭得笑得傻得像小孩在一起不简单别轻易说分开雨季总会忘了离开打落蔷薇每次盛开我们激动争吵相拥相爱想念每一次落单你的温柔让心跳崇拜我要的爱只在你身上存在要不是你不会哭得笑得傻得像小孩在一起不简单别轻易说分开你给的爱都变成我的依赖依赖着你的我可以尽情不勇敢因为你我相信爱存在我明白我期待爱存在如果爱是场最轰烈的冒险终点是暖手的口袋星星孤单单坠落在那片海是你打捞起我们把每滴坏的眼泪擦干我要的爱只在你身上存在要不是你不会哭得笑得傻得像小孩在一起不简单别轻易说分开你给的爱都变成我的依赖依赖着你的我可以尽情不勇敢因为你我相信爱存在就算能删除记忆就算能复制情感谁都无法控制爱一旦决定爱你我不管我不换你就是任谁都无法替代我的最爱只在你身上存在只有你在极光才有力量变得更绚烂只有你能幸福我回忆到未来你给的爱都变成我的依赖依赖着你的我可以尽情不勇敢因为你我相信爱存在制作人郑翰文沈炳监制桑玉泓混音工程师欧姆母带工程师全相彦艺人统筹黄志楠封面设计何晓婷索雅音乐版权代理公司北京有限公司环球音乐版权管理集团本歌曲来自云上工作室亿现金激励千亿流量扶持业务联系
36587407,146.0,我们不该这样的,166016,作词浅紫作曲都智文编曲都智文对不起我有些累了我问我们都怎么了再不像棋逢对手般哪怕爱着恨着或酸着突然有了很多心得但却痛到不能选择好多事我们都错了我们不该这样的放手不爱了我们怎么被动的苦笑着不管对的错的至少最后现实都输了假想的竞争者我们不该这样的放手不爱了我们怎么爱着却不快乐抱歉我浪费了可以更幸福的资格也许真的是太爱了愤怒也是因为忐忑每当谁怪谁太苛刻我们却又不懂得自责好几次也都想算了可心还会狠狠地疼着想体谅你却更难过我们不该这样的放手不爱了我们怎么被动的苦笑着不管对的错的至少最后现实都输了假想的竞争者我们不该这样的放手不爱了我们怎么爱着却不快乐抱歉我浪费了可以更幸福的资格我们怎么我们怎么我们怎么被动的苦笑着不管对的错的至少最后现实都输了假想的竞争者我们不该这样的放手不爱了我们怎么爱着却不快乐抱歉我浪费了可以更幸福的资格我浪费了更幸福的资格
1358848433,82.0,追,12077204,作词陈壹千作曲陈壹千编曲又经过那个街口那条路依然很陡想起我们第一次彼此温热的手也许时间在逗留才会让我无意间看透一切只是梦游把所有我喜欢的都填上有你的颜色为了你捕捉了整个银河把所有你在意的你讨厌的都学会了可我还是那个渺小的我变成太阳照亮你的我我愿意一直这样变成你爱的模样像影子离不开光从黑夜追随到天亮你的方向就是我飞跃的地方无条件在你身旁微弱的光再微弱也能照亮卑微的我只要你回头就能看见我在身后把所有我喜欢的都填上有你的颜色为了你捕捉了整个银河把所有你在意的你讨厌的都学会了可我还是那个渺小的我我愿意一直这样变成你爱的模样像影子离不开光从黑夜追随到天亮你的方向就是我飞跃的地方无条件在你身旁我会一直这样尽管眼泪会流淌曾经我也会想象那和你触碰的模样你的方向我为你飞跃的地方无条件在你身旁我愿一直这样爱着你混音陈壹千母带陈壹千和声陈壹千录音陈壹千制作陈壹千
176053,63.0,洋葱,6066,作词阿信五月天作曲阿信五月天编曲五月天周恒毅如果你眼神能够为我片刻的降临如果你能听到心碎的声音沉默的守护着你沉默的等奇迹沉默的让自己像是空气大家都吃着聊着笑着今晚多开心最角落里的我笑得多合群盘底的洋葱像我永远是调味品偷偷的看着你偷偷的隐藏着自己如果你愿意一层一层一层地剥开我的心你会发现你会讶异你是我最压抑最深处的秘密如果你愿意一层一层一层地剥开我的心你会鼻酸你会流泪只要你能听到我看到我的全心全意听你说你和你的他们暧昧的空气我和我的绝望装得很风趣我就像一颗洋葱永远是配角戏多希望能与你有一秒专属的剧情如果你愿意一层一层一层地剥开我的心你会发现你会讶异你是我最压抑最深处的秘密如果你愿意一层一层一层地剥开我的心你会鼻酸你会流泪只要你能听到我看到我的全心全意如果你愿意一层一层一层地剥开我的心你会发现你会讶异你是我最压抑最深处的秘密如果你愿意一层一层一层地剥开我的心你会鼻酸你会流泪只要你能听到我看到我的全心全意你会鼻酸你会流泪只要你能听到我看到我的全心全意制作人周佳佑周恒毅协力制作李汪哲吉他怪兽五月天李兆雄强辩和声编写周佳佑和声周佳佑录音师李心鼎毛淙文林宗磊录音室强力录音室玩音乐工作室混音师王俊杰小混音录音室白金录音室相信音乐国际股份有限公司
1421256202,7.0,谪仙,31727575,作词王莹作曲王中易编曲刘哲宇仙歌音玉笛灵酒盏玉露清剑舞轻潇洒过白袍影新殿又细雕流金声声箜篌鸣一笔浓墨留诗狂情玉袍长剑堪风流山川不念旧赋诗为狂也无有愁称谪仙瑶宫难留去凡间红楼斗酒多情眸落墨诗卷又几斗斟世间最烈的酒卧长安巍巍高楼看尽天下何人可似他无忧玉袍长剑堪风流山川不念旧赋诗为狂也无有愁称谪仙瑶宫难留去凡间红楼斗酒多情眸落墨诗卷又几斗斟世间最烈的酒卧长安巍巍高楼看尽天下何人可似他无忧称谪仙瑶宫难留去凡间红楼斗酒多情眸落墨诗卷又几斗斟世间最烈的酒卧长安巍巍高楼看尽天下何人可似他无忧制作人王中易吉他陈柏彤混音张鸣利和声涵木之策划李亚男出品伊格赛听嗨库文化
1331819951,81.0,像鱼,14312549,作词周有才作曲周有才这是一首简单的歌没有什么独特试着代入我的心事它那么幼稚像个顽皮的孩子多么可笑的心事只剩我还在坚持谁能看透我的眼睛让我能够不再失明我要记住你的样子像鱼记住水的拥抱像云在天空中停靠夜晚的来到也不会忘了阳光的温暖我要忘了你的样子像鱼忘了海的味道放下所有梦和烦恼却放不下回忆的乞讨多么可笑的心事只剩我还在坚持谁能看透我的眼睛让我能够不再失明记住你的样子像鱼记住水的拥抱像云在天空中停靠夜晚的来到也不会忘了阳光的温暖我要忘了你的样子像鱼忘了海的味道放下所有梦和烦恼却放不下回忆的乞讨只剩自己就好
25639007,670.0,爱的回归线,7342,爱像镜子里自己的脸当越靠近越看不完全本以为是苦是甜心甘情愿无悔无怨当风景看一遍心在离别前荡起秋千泪只能转身后说抱歉初见走到了再见回到原点曙光重现爱凝结了时间在爱的回归线又期待会相见天会晴心会暖阳光在手指间童话剧情上演在某天再一次遇见我们的脸一如从前没变心在离别前荡起秋千泪只能转身后说抱歉初见走到了再见回到原点曙光重现爱凝结了时间在爱的回归线有期待会相见天会晴心会暖阳光在手指间童话剧情上演在某天再一次遇见我们的脸一如从前没变有时放开一点对爱也是种成全心是你的就不会走远每一段爱情都危险每一对恋人都勇敢下一个瞬间是下一个永远在爱的回归线有期待终会又相见天会晴心会暖阳光在手指间那落单的誓言有牵挂就不会飞远这一瞬间抵过沧海桑田
