,0
0,131286849
1,573723608
2,126207377
3,573723608
4,567610726
5,1382417998
6,1475088517
7,246753657
8,126207377
9,252247270
10,380991071
11,577365010
12,377517240
13,481699204
14,131815380
15,1368041875
16,1398051514
17,137621908
18,1294820442
19,624865080
20,52921535
21,334065326
22,541366872
23,607292900
24,473090391
25,1333775571
26,1658009211
27,383274875
28,290777596
29,332296550
30,1382118630
31,346852268
32,291471359
33,1355275612
34,1557280406
35,1691988040
36,1451445211
37,1896325879
38,542150799
39,1864567303
40,346852268
41,622845749
42,133838984
43,2096548213
44,1411286247
45,113316340
46,417704811
47,303369180
48,268603421
49,619388713
50,316664364
51,281756968
52,1369405988
53,1646177732
54,646576377
55,444403613
56,373003707
57,319993036
58,288888149
59,630240212
60,430228220
61,51803469
62,426377799
63,730703
64,70823660
65,73784950
66,35939179
67,18032414
68,56547943
69,50670892
70,54765074
71,90709061
72,49650911
73,9218761
74,247965481
75,46641114
76,489056986
77,1697418427
78,291011007
79,75364329
80,472624769
81,477102759
82,1411339433
83,330580559
84,440200421
85,374880057
86,1525956531
87,129472513
88,1878844279
89,1411339433
90,472624769
91,337542029
92,1579381520
93,303726772
94,1573022793
95,1367284066
96,1572285797
97,445413133
98,1407747620
99,1377219724
100,1368418526
101,386432132
102,378255404
103,646468517
104,426092504
105,471776903
106,483913359
107,1586479467
108,350663129
109,304620345
110,535479442
111,580675497
112,469845006
113,403046163
114,334654507
115,564731143
116,1441569904
117,278998703
118,425401747
119,1530246114
120,263263248
121,1292362959
122,285128344
123,1466104991
124,547628968
125,1408692837
126,401954633
127,636961662
128,299081663
129,1890481277
130,1527445144
131,611122211
132,1613944770
133,1883318052
134,268862332
135,421248506
136,287086525
137,1395015079
138,63819893
139,115367550
140,361877070
141,492705422
142,434049231
143,1401196363
144,476715721
145,1712966950
146,299269606
147,410690226
148,486153083
149,322133531
150,267607014
151,452049758
152,359859053
153,312150528
154,45818549
155,31750750
156,127083660
157,128821472
158,54807765
159,127083660
160,98756700
161,1777500676
162,254828587
163,1379701323
164,1796641093
165,416907924
166,607849099
167,1377840332
168,1427312961
169,1377840332
170,1546786024
171,1518620766
172,1514754620
173,1933859355
174,1929362500
175,1853371260
176,124597187
177,1551011192
178,48144608
179,62724759
180,57876682
181,80676602
182,65955657
183,92193410
184,80191849
185,346580531
186,38701927
187,44291097
188,80189640
189,123564204
190,68497774
191,75960585
192,302447419
193,325416299
194,1432205303
195,129576178
196,312660124
197,3232720399
198,414442458
199,454556389
200,2030760232
201,1855871086
202,1746148571
203,1394536265
204,3696430701
205,3259712902
206,360890050
207,491522940
208,131431068
209,129597744
210,41399406
211,280469525
212,561298669
213,89149489
214,68219782
215,271491334
216,319416804
217,41399406
218,111089185
219,57246570
220,484985393
221,133698879
222,47532751
223,120049291
224,1540980637
225,1619051227
226,325860770
227,621848210
228,428030938
229,356540808
230,1319588720
231,610197958
232,395633238
233,401125328
234,1695400493
235,1369108356
236,337449085
237,265476234
238,382934762
239,535808467
240,104193406
241,548910718
242,119032227
243,1495610764
244,427305756
245,483523366
246,78665232
247,501841441
248,353512709
249,350561789
250,126209695
251,511869279
252,124193722
253,45622860
254,44219707
255,62276420
256,308670525
257,49313606
258,1361022667
259,15298660
260,111005098
261,101763770
262,1585543979
263,467092788
264,52373543
265,379622098
266,77139001
267,388590023
268,326658115
269,363891179
270,70436671
271,634291906
272,1374282516
273,1440420426
274,446761995
275,265911540
276,1449812743
277,630712011
278,567946823
279,1549511120
280,579693910
281,67551723
282,290620719
283,55471768
284,304673243
285,410700858
286,1510500207
287,1366386264
288,1510541810
289,93544947
290,382503544
291,371461063
292,337577969
293,296563987
294,1717759732
295,318350651
296,1667537820
297,73328503
298,363447171
299,309302136
300,283226263
301,363926748
302,501484195
303,310149553
304,333232624
305,118447826
306,427345042
307,118447826
308,255955687
309,467628603
310,480854303
311,503057115
312,396699891
313,337870936
314,505227549
315,421092233
316,113020581
317,629980600
318,1952390873
319,1833816189
320,1451179400
321,421850932
322,104352852
323,1687297571
324,3283453823
325,441523665
326,1812546368
327,478033854
328,2063418095
329,408504884
330,254849445
331,421092233
332,481900511
333,1546236413
334,1539439425
335,431558468
336,594110908
337,298302587
338,311768622
339,113020581
340,133597396
341,393475679
342,512697889
343,69439844
344,408403257
345,120605175
346,498915573
347,120605175
348,1467672252
349,120605175
350,1296167732
351,382251796
352,572228044
353,516476552
354,1363818696
355,1442036950
356,120605175
357,1688310808
358,2038599081
359,610252120
360,293752208
361,416657201
362,314595097
363,416503340
364,267358869
365,367919801
366,1368814169
367,1368352261
368,1721255249
369,361338728
370,616467718
371,627845652
372,536154012
373,1775158334
374,346930020
375,1401307195
376,90531795
377,113555624
378,2015079473
379,427047328
380,1380051268
381,1678606726
382,291080213
383,137281494
384,1963037749
385,90531795
386,133939612
387,125442382
388,490479755
389,1530808665
390,486074569
391,356275250
392,1384083077
393,1826152381
394,121511590
395,517188756
396,303328637
397,68936601
398,290691781
399,105056334
400,341104455
401,262033020
402,397922295
403,66156636
404,62322397
405,98370424
406,89408817
407,57211617
408,343063164
409,136946904
410,319762826
